month,Rm,Rf
200101,7.2239814,0.75284487
200102,-3.6750576,0.65451831
200103,-21.171022,0.67802626
200104,-1.2223794,0.59319693
200105,6.5679355,0.64558399
200106,-7.7551446,0.58927554
200107,-4.096601,0.6026541
200108,-0.82779878,0.56139505
200109,-13.725749,0.54301274
200110,5.6281071,0.55946904
200111,13.026593,0.52056068
200112,0.22702457,0.50506806
200201,2.3862808,0.5981853
200202,9.2824726,0.48808828
200203,2.8676805,0.44905013
200204,2.4692662,0.50736344
200205,-4.1828871,0.57268429
200206,4.8889518,0.49331474
200207,-8.7376823,0.52240491
200208,5.3991442,0.47608355
200209,-6.2997551,0.46844855
200210,-0.47840512,0.46502239
200211,6.8751106,0.39341405
200212,4.3295193,0.43511096
200301,-3.2911458,0.48524931
200302,1.9467208,0.41907477
200303,-8.3413315,0.44584811
200304,-0.40355611,0.38413215
200305,15.632971,0.3708865
200306,12.632261,0.40055737
200307,5.1630073,0.4311139
200308,18.636738,0.37613657
200309,3.7620809,0.38797256
200310,5.919631,0.40947852
200311,7.378921,0.33892962
200312,19.401699,0.35952449
200401,-5.7662611,0.34747905
200402,-1.1291186,0.32245579
200403,-0.53493541,0.36246434
200404,3.442765,0.33953068
200405,-17.317686,0.35650173
200406,1.8933004,0.3771233
200407,9.3325176,0.37919992
200408,2.7638299,0.39992279
200409,8.1402988,0.4090361
200410,2.1980393,0.40486494
200411,8.861043,0.4233515
200412,8.6420555,0.47580433
200501,-1.3651394,0.39040795
200502,3.8036425,0.40822619
200503,-3.3320341,0.45018846
200504,-3.048625,0.40565965
200505,8.8921928,0.44815794
200506,3.8825502,0.47958151
200507,6.4216261,0.42537546
200508,7.858912,0.45028999
200509,5.4380717,0.42852041
200510,-8.9303026,0.42948788
200511,12.031954,0.44629577
200512,6.9535933,0.50027812
200601,7.0811973,0.48603675
200602,2.9507377,0.48951611
200603,11.070098,0.5539543
200604,8.2546139,0.38454723
200605,-14.25331,0.48813936
200606,-3.6368577,0.54877967
200607,-1.1245505,0.52610546
200608,8.8372641,0.54988766
200609,5.2202306,0.533171
200610,4.7261543,0.51614422
200611,4.8633528,0.56848258
200612,1.3697673,0.54255283
200701,3.6887734,0.56153119
200702,-7.97258,0.55485398
200703,1.0175864,0.62085772
200704,7.3345389,0.5705905
200705,4.687736,0.61499268
200706,1.0540161,0.59701097
200707,5.2141056,0.44656137
200708,-0.35888782,0.57738781
200709,12.98346,0.55110335
200710,21.385956,0.60951596
200711,-1.4171048,0.64510798
200712,12.138611,0.55579358
200801,-21.158503,0.65020138
200802,1.0502269,0.61446697
200803,-10.647655,0.52550626
200804,11.612559,0.58505797
200805,-5.5882211,0.5962041
200806,-18.164797,0.67660469
200807,7.0685472,0.83217555
200808,0.2032536,0.72840959
200809,-13.813562,0.72780228
200810,-28.581367,0.64232558
200811,-6.2122102,0.52599972
200812,10.793218,0.46913025
200901,-3.9473841,0.37752479
200902,-2.7649107,0.36511073
200903,8.1942434,0.37992796
200904,15.206659,0.25484696
200905,34.886227,0.25865474
200906,-2.8030987,0.29062366
200907,8.6461096,0.29583475
200908,3.3743069,0.27934685
200909,7.2318616,0.26835805
200910,-6.9260149,0.2540246
200911,7.6029725,0.25683299
200912,5.4674306,0.28990972
201001,-2.914484,0.278299
201002,-1.2501602,0.31944567
201003,3.8957391,0.35404891
201004,1.02733,0.31938836
201005,-4.1238923,0.36025268
201006,5.1481819,0.44975311
201007,1.5085,0.46958306
201008,-0.31916875,0.52118021
201009,8.0046425,0.5010457
201010,0.1162021,0.5410164
201011,-5.3471923,0.56189042
201012,3.8170757,0.61647767
201101,-9.6497688,0.55777049
201102,-4.8759222,0.55686754
201103,7.4927192,0.61793584
201104,1.067767,0.51169604
201105,-2.3790009,0.68466669
201106,0.15140441,0.69662344
201107,-1.8043935,0.66465229
201108,-7.9146152,0.67658764
201109,-1.0047762,0.67643732
201110,4.8027906,0.62348145
201111,-9.1096764,0.67341715
201112,-5.2832713,0.68415231
201201,12.309093,0.72919995
201202,4.8809276,0.68403083
201203,-2.4899859,0.75836068
201204,-0.82457024,0.65496433
201205,-5.7056112,0.7141639
201206,5.4931779,0.66930544
201207,-1.0542306,0.6966424
201208,0.49029443,0.66784906
201209,7.0198951,0.6303466
201210,-0.9208793,0.65984255
201211,2.7499866,0.63223177
201212,1.3186569,0.63001782
201301,1.7536061,0.71075833
201302,-6.09583,0.6196118
201303,-2.2866197,0.59604728
201304,3.0660305,0.59884298
201305,0.59142214,0.6592502
201306,-3.4891891,0.58067942
201307,-0.12750693,0.85522288
201308,-1.9738851,0.87205791
201309,4.7709746,0.83019435
201310,7.0945616,0.74004251
201311,-0.30797374,0.69336396
201312,4.0014963,0.7225759
201401,-3.1220832,0.7926209
201402,2.2511272,0.67990965
201403,5.9905157,0.75805378
201404,0.73866582,0.63355845
201405,10.705474,0.72655034
201406,7.5976634,0.70969647
201407,0.44715303,0.74426705
201408,3.086904,0.64414483
201409,2.1242611,0.73822832
201410,1.831717,0.59316319
201411,1.6282281,0.57865024
201412,-2.2956257,0.70854926
201501,5.657124,0.6789518
201502,1.1709015,0.64406329
201503,-1.7845026,0.67569679
201504,-2.9701626,0.58528906
201505,3.6356931,0.61825329
201506,-1.0477921,0.66086209
201507,3.2208018,0.67786777
201508,-5.5383515,0.60988241
201509,-0.41842088,0.58682245
201510,2.4049625,0.55767357
201511,-0.86614895,0.53278649
201512,1.8223101,0.62001258
201601,-5.724493,0.56622636
201602,-8.1357327,0.60207099
201603,10.565531,0.57029587
201604,2.4134376,0.48701429
201605,1.2981148,0.58898962
201606,3.7417688,0.58547926
201607,4.6994362,0.51697516
201608,1.2074579,0.56551981
201609,-0.46133408,0.51126581
201610,3.0513663,0.47330666
201611,-5.1848044,0.50301069
201612,-0.86770755,0.52219611
201701,5.4356899,0.51243407
201702,4.2522449,0.45829147
201703,3.1624527,0.51264554
201704,2.4304383,0.42235795
201705,0.27999303,0.53762746
201706,-0.024965996,0.51506567
201707,4.5538769,0.50787526
201708,0.26744065,0.50215501
201709,-0.98801732,0.50030464
201710,8.6428785,0.47785595
201711,0.56338125,0.52914351
201712,4.9778767,0.4873217
201801,-0.022983944,0.54897499
201802,-3.0690675,0.47557467
201803,-4.8087268,0.46647492
201804,7.0281429,0.50386924
201805,-3.616194,0.54808074
201806,-2.3730083,0.53988898
201807,5.2268214,0.57070255
201808,4.9595819,0.56228197
201809,-7.657259,0.49611613
201810,-5.2406001,0.58352888
201811,2.8031814,0.54656273
201812,0.1875156,0.52985269
201901,-1.9661889,0.60478246
201902,-0.17785247,0.5116998
201903,6.049932,0.47700924
201904,0.83782762,0.47444507
201905,-0.45870283,0.5563342
201906,-1.9786415,0.45280117
201907,-6.2542439,0.53339148
201908,0.62436908,0.43497244
201909,4.5668092,0.39710236
201910,4.4683299,0.40320379
201911,-1.4350907,0.38936126
